La,138.90547,37.5306461188031,57.0,3.0,8.4320768992023,0.131681664999999,7.77495265,0.0008051,0.572499999999998,37.47,3737.0,207.0,6146.0,5.5769,0.0,8.38891205220146,-4.927546185,4.194456026,5.28468344,0.0,36.8975,0.195,27.11,37.42,0,0,1,0,1,0,13,9,1,0,0,0,0,0,2,9,3,31.1,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Ce,140.116,34.7845014783339,58.0,3.0,8.38682742661131,0.121388169999999,3.65500445,0.0,-0.370000000000005,36.87,3633.0,204.0,6689.0,5.5387,0.0,8.41478876292688,-4.77656965,4.207394381,5.300984746,0.0,37.24,0.192,26.94,34.47,0,0,1,0,1,0,15,9,1,13,1,0,0,0,2,22,4,29.6,6,194,0,0,0,0,0,0,1,1,0,0,0,0.0
Pr,140.90765,35.2391757331551,59.0,3.0,8.31185223060113,0.12529012,3.59202414,0.0,0.215000000000003,35.89,3563.0,203.0,6640.0,5.473,0.0,8.29522152003546,-4.77382996,4.14761076,5.225662103,0.0,35.675,0.193,27.2,34.5,0,0,1,0,1,0,17,0,0,11,3,0,0,0,2,11,5,28.2,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Nd,144.242,34.1690548824543,60.0,3.0,8.24021490626229,0.13159904,3.44641484,0.0,0.159999999999997,34.97,3373.0,201.0,7010.0,5.525,0.0,8.22762840089464,-4.76235134,4.1138142,5.183081107,0.0,34.81,0.19,27.45,34.2,0,0,1,0,1,0,19,0,0,10,4,0,0,0,2,10,6,31.4,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Pm,145.0,33.1475485627589,61.0,3.0,8.17130561560935,0.1365725925,3.36326605,0.0,0.2575,34.1,3273.0,199.0,7264.0,5.582,0.0,8.15068557846985,-4.7446213425,4.075342789,5.134610166,0.0,33.8425,0.0,0.0,33.67,0,0,1,0,1,0,21,0,0,9,5,0,0,0,2,9,7,30.1,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Sm,150.36,33.9568190130002,62.0,3.0,8.12875014260009,0.140138335,3.25688831,0.0,0.340000000000003,33.57,2076.0,198.0,7353.0,5.6437,0.0,8.10121406381752,-4.713379635,4.050607032,5.103445064,0.0,33.23,0.196,29.54,33.14,0,0,1,0,1,0,23,0,0,8,6,0,0,0,2,8,8,28.8,6,166,0,0,0,0,0,1,1,0,0,0,0,0.0
Eu,151.964,48.1212923577191,63.0,3.0,8.35562387818653,0.0,2.43429944,0.0,0.0,36.46,1800.0,198.0,5244.0,5.67038,0.0,8.35562387818653,-1.82958684,4.177811939,5.263713205,0.0,36.46,0.182,27.66,48.53,0,0,1,0,1,0,25,0,0,7,7,0,0,0,2,7,9,27.7,6,229,0,0,0,0,0,1,1,0,0,0,0,0.0
Gd,157.25,33.0497243138068,64.0,3.0,8.05215918830477,0.14373427,3.3984822,0.0,0.580000000000005,32.63,3523.0,196.0,7901.0,6.1498,0.0,8.00416449840962,-4.65442131,4.002082249,5.042307669,0.0,32.05,0.235,37.03,32.98,0,0,1,0,1,0,27,9,1,7,7,0,0,0,2,16,10,23.5,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Tb,158.92535,32.109492755383,65.0,3.0,8.00998752597674,0.14441081667,3.36716234,0.0,0.383333333299998,32.12,3503.0,194.0,8219.0,5.8638,0.0,7.9779950840129,-4.62921769667,3.988997542,5.025821971,0.0,31.7366666667,0.182,28.91,31.95,0,0,1,0,1,0,29,0,0,5,9,0,0,0,2,5,11,25.5,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Dy,162.5,31.5569998455358,66.0,3.0,7.9336173583474,0.146173713330001,3.35771331,0.0,-0.0299999999999976,31.21,2840.0,192.0,8551.0,5.9389,0.0,7.93615855562507,-4.60155445333,3.968079278,4.99946661,0.0,31.24,0.173,28.16,31.6,0,0,1,0,1,0,31,0,0,4,10,0,0,0,2,4,12,24.5,6,194,0,0,0,0,0,0,1,0,0,0,0,0.0
